TRDTYPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,MONTH,YEAR
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0
1.0,57.78158,4.82876,1613.5464,856263.94604,155251.92686,8120.29266,1.32062,1.0,2020.0
0.0,27.261074374043307,1.046890052477164,395.001275399449,10396012.223384313,11381636.146890666,100230.46104007751,0.46671958620079673,0.0,0.0
1.0,1.0,1.0,1220.0,7.0,0.0,0.0,1.0,1.0,2020.0
1.0,35.0,5.0,1220.0,11321.75,0.0,0.0,1.0,1.0,2020.0
1.0,61.0,5.0,1220.0,44682.0,0.0,0.0,1.0,1.0,2020.0
1.0,84.0,5.0,2010.0,214036.5,0.0,892.25,2.0,1.0,2020.0
1.0,98.0,8.0,2010.0,981702075.0,1841318315.0,14961084.0,2.0,1.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,27867.0,50000.0,50000.0
1.44266,56.62706,4.73924,1506.059,1493834.62398,886228.66142,22852.95646,1.313883805217641,1.53578,2020.0
0.4967062096865457,28.13157875894756,1.1616157752992977,379.68373906955014,23527338.811507527,33891756.74258295,687460.912783649,0.46407810816891254,0.4987231357129142,0.0
1.0,1.0,1.0,1220.0,52.0,0.0,0.0,1.0,1.0,2020.0
1.0,33.0,5.0,1220.0,11699.0,0.0,0.0,1.0,1.0,2020.0
1.0,61.0,5.0,1220.0,53339.5,10.0,329.0,1.0,2.0,2020.0
2.0,84.0,5.0,2010.0,280781.5,8733.75,2515.5,2.0,2.0,2020.0
2.0,99.0,9.0,2010.0,2342542619.0,6417745094.0,130492242.0,2.0,2.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,27893.0,50000.0,50000.0
1.44214,56.09828,4.75836,1508.9504,1560508.18494,869760.4077,22995.90234,1.3205105223532787,2.07514,2020.0
0.49664590358027816,27.886187509781195,1.1193190643884157,380.50148221445784,24048405.107710782,32186372.96473816,717682.1719365994,0.46668119258674495,0.2636197456705513,0.0
1.0,1.0,1.0,1220.0,60.0,0.0,0.0,1.0,2.0,2020.0
1.0,33.0,5.0,1220.0,12000.0,0.0,0.0,1.0,2.0,2020.0
1.0,59.0,5.0,1220.0,55962.5,7.0,329.0,1.0,2.0,2020.0
2.0,84.0,5.0,2010.0,298878.25,9036.5,2612.0,2.0,2.0,2020.0
2.0,99.0,9.0,2010.0,2534921350.0,5978531055.0,142204390.0,2.0,3.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,48318.0,50000.0,50000.0
1.03364,58.16154,4.82414,1599.2,889371.08986,199055.22898,9545.187,1.323668198187011,3.0,2020.0
0.18030252516260448,27.14106220422391,1.0452727454125292,394.68782039671737,10200539.133244399,11847235.028018484,134918.86012892594,0.4678799272385533,0.0,0.0
1.0,1.0,1.0,1220.0,2.0,0.0,0.0,1.0,3.0,2020.0
1.0,35.0,5.0,1220.0,11227.75,0.0,0.0,1.0,3.0,2020.0
1.0,62.0,5.0,1220.0,45668.0,0.0,39.0,1.0,3.0,2020.0
1.0,84.0,5.0,2010.0,220898.25,0.0,1061.0,2.0,3.0,2020.0
2.0,98.0,9.0,2010.0,1069365329.0,2062305504.0,16691762.0,2.0,3.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,29090.0,50000.0,50000.0
1.4182,55.71138,4.75118,1497.9378,1351361.82358,840625.09546,21048.57958,1.3066345823306977,3.5818,2020.0
0.49326831063076154,28.107325716452973,1.125865870820846,377.2589135022741,22536730.424802706,34023884.937452085,713833.4482737107,0.4611042443869118,0.49326831063076143,0.0
1.0,1.0,1.0,1220.0,103.0,0.0,0.0,1.0,3.0,2020.0
1.0,32.0,5.0,1220.0,11608.25,0.0,0.0,1.0,3.0,2020.0
1.0,58.0,5.0,1220.0,50819.5,2.0,353.0,1.0,4.0,2020.0
2.0,84.0,5.0,2010.0,263421.25,6720.25,2646.0,2.0,4.0,2020.0
2.0,99.0,9.0,2010.0,2602826867.0,6613062527.0,142542170.0,2.0,4.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,29380.0,50000.0,50000.0
1.4124,55.54142,4.7645,1507.8444,1023186.55432,827753.30144,19406.1106,1.3135806671204902,4.28412,2020.0
0.49227135466298716,28.130614479833536,1.123345444687324,380.1914889894381,12733578.118234716,33057264.39322186,700393.2428281219,0.4639559881248187,0.4509987733884339,0.0
1.0,1.0,1.0,1220.0,44.0,0.0,0.0,1.0,4.0,2020.0
1.0,32.0,5.0,1220.0,11928.75,0.0,0.0,1.0,4.0,2020.0
1.0,57.0,5.0,1220.0,52885.5,1.0,324.0,1.0,4.0,2020.0
2.0,84.0,5.0,2010.0,268244.0,7474.5,2500.0,2.0,5.0,2020.0
2.0,99.0,9.0,2010.0,1562665255.0,6189503514.0,141268565.0,2.0,5.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,29745.0,50000.0,50000.0
1.4051,56.31812,4.7673,1491.4282,939712.08502,788969.09112,17602.73204,1.310169776433014,5.0,2020.0
0.4909162963033511,28.097225997378725,1.0911528409395477,375.1770587352963,10004963.720192736,27035605.85223122,500009.4312490854,0.462570729461858,0.0,0.0
1.0,1.0,1.0,1220.0,15.0,0.0,0.0,1.0,5.0,2020.0
1.0,32.0,5.0,1220.0,11664.0,0.0,0.0,1.0,5.0,2020.0
1.0,59.0,5.0,1220.0,51845.5,0.0,357.0,1.0,5.0,2020.0
2.0,84.0,5.0,2010.0,259006.25,6277.25,2577.25,2.0,5.0,2020.0
2.0,99.0,9.0,2010.0,1051933331.0,4489330937.0,94832255.0,2.0,5.0,2020.0
50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,50000.0,47713.0,50000.0,50000.0
1.04574,57.78504,4.81936,1580.7614,784777.99128,190584.12816,8820.53032,1.3138138452832562,5.98982,2020.0
0.20892277370958748,27.46821658311375,1.0417057614402776,393.517236453942,8085590.390035106,9639235.137872739,114033.85950126135,0.46404658064791343,0.1003821155952724,0.0
1.0,1.0,1.0,1220.0,2.0,0.0,0.0,1.0,5.0,2020.0
1.0,34.0,5.0,1220.0,10705.5,0.0,0.0,1.0,6.0,2020.0
1.0,62.0,5.0,1220.0,42151.5,0.0,67.0,1.0,6.0,2020.0
1.0,84.0,5.0,2010.0,203341.0,0.0,1095.0,2.0,6.0,2020.0
2.0,98.0,9.0,2010.0,796419356.0,1285728365.0,14466744.0,2.0,6.0,2020.0
